Period,New subs,Active,New upgrades,Scheduled upgrades,Completed upgrades,Failed upgrades,Canceled,Payment failed,Expired,Lost,Churn rate,Net new subs,First time payments,Renewal payments,Total payments,Growth rate,"Lost, active at beginning of period"
09/10/2021,1,3745,0,0,0,0,0,0,2,2,0.0005339,-1,1,13,14,-0.8,2
09/11/2021,0,3740,0,0,0,0,0,0,5,5,0.00133511,-5,0,9,9,-1,5
09/12/2021,1,3738,0,0,0,0,0,3,0,3,0.00080214,-2,1,9,10,,3
09/13/2021,6,3733,0,0,0,0,0,10,1,11,0.00294275,-5,6,6,12,5,11
09/14/2021,1,3729,0,0,0,0,0,1,4,5,0.00133941,-4,1,8,9,-0.83333333,5
09/15/2021,2,3730,0,0,0,0,0,0,1,1,0.00026817,1,2,13,15,1,1
09/16/2021,4,3730,0,0,0,0,1,1,2,4,0.00107239,0,4,9,13,1,4
09/17/2021,6,3732,0,0,0,0,0,0,4,4,0.00107239,2,6,13,19,0.5,4
09/18/2021,1,3730,0,0,0,0,0,0,3,3,0.00080386,-2,1,7,8,-0.83333333,3
09/19/2021,0,3725,0,0,0,0,0,2,3,5,0.00134048,-5,0,12,12,-1,5
09/20/2021,5,3723,0,0,0,0,1,1,5,7,0.00187919,-2,5,10,15,,7
09/21/2021,2,3723,0,0,0,0,1,0,1,2,0.0005372,0,2,11,13,-0.6,2
09/22/2021,7,3728,0,0,0,0,0,0,2,2,0.0005372,5,7,7,14,2.5,2
09/23/2021,5,3729,0,0,0,0,1,1,2,4,0.00107296,1,5,12,17,-0.28571429,4
09/24/2021,4,3728,0,0,0,0,0,2,3,5,0.00134084,-1,4,17,21,-0.2,5
09/25/2021,1,3723,0,0,0,0,0,2,4,6,0.00160944,-5,1,15,16,-0.75,6
09/26/2021,0,3717,0,0,0,0,0,1,5,6,0.0016116,-6,0,18,18,-1,6
09/27/2021,10,3722,0,0,0,0,0,1,4,5,0.00134517,5,10,9,19,,5
